# 中文	English
一个女孩	1girl
蕾丝	lace
乳胶连衣裙	latex dress
乳胶	latex
叠层比基尼	layered bikini
多层次连衣裙	layered dress
层叠裙	layered skirt
体操服	leotard
内衣	lingerie
日常服装	living clothes
萝莉风	lolita fashion
长裙	long dress
家居服	loungewear
低腰比基尼	lowleg bikini
女仆比基尼	maid bikini
明治校服	meiji schoolgirl uniform
美人鱼连衣裙	mermaid dress
超迷你比基尼	micro bikini
超短裙	microskirt
军装	military uniform
多带比基尼	multi-strapped bikini
多彩连衣裙	multicolored dress
睡衣	negligee
夜裙	nightgown
和服腰带	obi
露肩连衣裙	off-shoulder dress
连体泳衣	one-piece swimsuit
敞开的和服	open kimono
橙色连衣裙	orange dress
欧根纱蕾丝	organza lace
铅笔裙	pencil dress
铅笔裙	pencil skirt
衬裙	pettiskirt
围裙连衣裙	pinafore dress
粉红色连衣裙	pink dress
细条纹连衣裙	pinstripe dress
格子连衣裙	plaid dress
格子裙	plaid skirt
花兔体操服	playboy bunny leotard
褶皱连衣裙	pleated dress
警服	police uniform
波点连衣裙	polka dot dress
波点	polka dot
印花连衣裙	print dress
紫色连衣裙	purple dress
红色连衣裙	red dress
反向兔女郎套装	reverse bunnysuit
弹力连衣裙	ribbed dress
饰带连衣裙	ribbon-trimmed dress
水手比基尼	sailor bikini
水手服	sailor dress
水手服	sailor senshi uniform
水手服	sailor
圣诞装	santa costume
圣诞连衣裙	santa dress
圣诞老人	santa
校泳装	school swimsuit
校服	school uniform
闪亮的彩虹盔甲	shimmering, iridescent armor
透视连衣裙	see-through dress
透视	see-through
褐黄色调连衣裙	sepia dress
贴身长裙	sheath dress
贝壳比基尼	shell bikini
短裙	short dress
短和服	short kimono
侧开叉	side slit
侧系比基尼	side-tie bikini
篮子裙	skirt basket
无袖连衣裙	sleeveless dress
弹弓泳装	slingshot swimsuit
运动比基尼	sports bikini
直列制服	stile uniform
紧身衣	straitjacket
无带比基尼	strapless bikini
无袖连衣裙	strapless dress
条纹连衣裙	striped dress
条纹的	striped
套装	suit
太阳裙	sundress
吊袜带裙	suspender skirt
毛衣裙	sweater dress
泳装	swimsuit
格子图案	tartan
紧身连衣裙	taut dress
网球服	tennis dress
比基尼内裤	thong bikini
破烂衣服	torn clothes
破烂连衣裙	torn dress
秋千裙	trapeze dress
管状连衣裙	tube dress
塔图裙	tutu
双色连衣裙	two-tone dress
乌奇卡伊	uchikake
内衣	underwear
制服	uniform
未系带比基尼	untied bikini
变异套装	varia suit
竖条纹连衣裙	vertical-striped dress
越南服	vietnamese dress
处女杀手装	virgin killer outfit
排球服	volleyball uniform
腰围布	waist apron
婚纱	wedding dress
西部风格	western
湿衣	wet dress
白色连衣裙	white dress
黄色连衣裙	yellow dress
浴衣	yukata
天使翅膀	angel wings
臂带	arm belt
护腕	armband
徽章	badge
包扎的手臂	bandaged arm
包扎的手	bandaged hands
绷带	bandages
手镯	bangle
条形码	barcode
露肩	bare shoulders
蝙蝠翅膀	bat wings
珠子手链	bead bracelet
肚链	belly chain
比基尼上衣脱下	bikini top removed
比基尼上衣	bikini top
黑色翅膀	black wings
夹克	blazer
衬衫	blouse
蝴蝶结	bow
护腕	bracer
蝴蝶翅膀	butterfly wings
背心	camisole
斗篷	cape
小斗篷	capelet
开衫	cardigan
休闲	casual
猫形镂空	cat cutout
猫咪内衣	cat lingerie
中心花边	center frills
中开门襟	center opening
格子衬衫	checkered shirt
斗篷	cloak
胸间衣物	clothes between breasts
外套	coat
衣摆	coattails
锁骨	collarbone
有领夹克	collared jacket
有领衬衫	collared shirt
命令咒语	command spell
交叉吊带	criss-cross halter
露脐上衣	crop top
短袖衫	cropped shirt
短背心	cropped vest
恶魔翅膀	demon wings
袖子分离	detached sleeves
分离翅膀	detached wings
钻石	diamond (gemstone)
龙翼	dragon wings
正装衬衫	dress shirt
兜肚	dudou
鸭舌帽外套	duffel coat
袖口手套	elbow gloves
仙翼	fairy wings
护裙	faulds
无指手套	fingerless gloves
系带上衣	front-tie top
褶皱	gathers
脱下手套	gloves removed
手套	gloves
运动衫	gym shirt
半袖手套	half gloves
束腰带	harness
帽子花饰	hat flower
心形镂空	heart cutout
心锁（坎田收藏）	heart lock (kantai collection)
心形纹身	heart tattoo
心跳	heartbeat
高腰裙	high-waist skirt
连帽斗篷	hooded cape
连帽斗篷	hooded cloak
连帽外套	hooded coat
连帽夹克	hooded jacket
连帽毛衣	hooded sweater
连帽运动夹克	hooded track jacket
卫衣	hoodie
汗衫	jersey
袈裟	kesa
实验服	labcoat
乳胶手套	latex gloves
分层袖子	layered sleeves
承载背心	load bearing vest
长袖	long sleeves
低腰	lowleg
军装夹克	military jacket
鼹鼠	mole
肌肉	muscle
数字纹身	number tattoo
露肩	off shoulder
敞开的衣服	open clothes
敞开的长袍	open robe
开胸前的毛衣	open-chest sweater
宽松衬衫	oversized shirt
套装裤装	pant suit
长袍	robe
水手衫	sailor shirt
袖子叠起	sleeves folded up
袖子过指	sleeves past fingers
袖子过腕	sleeves past wrists
挽起的袖子	sleeves pushed up
西装外套	suit jacket
T恤	t-shirt
燕尾服	tailcoat
背心	tank top
无上衣	topless
未扣纽扣的衬衫	unbuttoned shirt
马甲	vest
处女杀手毛衣	virgin killer sweater
湿透的衬衫	wet shirt
鞭痕	whip marks
翅膀	wings
手铐	wrist cuffs
手腕带	wristband
脚踝绑带	ankle garter
系带脚踝	ankle lace-up
脚环	anklet
围裙	apron
背印内裤	back-print panties
包扎的腿	bandaged leg
腿上的创可贴	bandaid on leg
裸露的双腿	bare legs
赤脚	barefoot
熊内裤	bear panties
腰带	belt
骑行短裤	bike shorts
比基尼底裤	bikini bottom
黑色绑腿带	black garter straps
衬裙	bloomers
无底裤	bottomless
束缚的双腿	bound legs
蝴蝶结内裤	bow panties
布鲁玛	buruma
肛门塞子	butt plug
七分裤	capri pants
猫耳内裤	cat ear panties
马鞍护腿	chaps
格子裙	checkered skirt
短裤	cutoffs
恶魔尾巴	demon tail
牛仔短裤	denim shorts
牛仔裙	denim skirt
尿布	diaper
狗尾巴	dog tail
龙尾	dragon tail
脚	foot
狐狸尾巴	fox tail
前印内裤	front-print panties
束腰	girdling
护腿	greaves
运动短裤	gym shorts
袴裙	hakama skirt
高腰内裤	highleg panties
臀部	hips
马尾	horse tail
牛仔裤	jeans
连体衣	jumpsuit
护膝	kneepits
蕾丝边内裤	lace-trimmed panties
腿部束带	leg belt
腿套	leg garter
腿部纹身	leg tattoo
腿部配件	legwear
紧身上衣（内衣）	leotard under clothes
低腰裤	lowleg pants
机械腿	mechanical legs
小腹	midriff
迷你裙	miniskirt
肚脐	navel
颈套	neck garter
外穿丝袜内裤	panties over pantyhose
内穿丝袜内裤	panties under pantyhose
内裤	panties
带腿套的丁字裤	panty & stocking with garterbelt
泳衣下丝袜	pantyhose under swimsuit
粉红色内裤	pink panties
褶裙	pleated skirt
短裤	shorts
侧系内裤	side-tie panties
裙套装	skirt suit
裙子	skirt
长筒袜外穿丝袜	socks over thighhighs
草莓色内裤	strawberry panties
条纹内裤	striped panties
泳衣侧面	swimsuit aside
尾巴	tail
粗腿	thick thighs
丝袜外穿长筒袜	thighhighs over pantyhose
大腿	thighs
丁字裤	thong
脚趾	toes
三叶草	trefoil
白色腿带	white garter straps
白色内裤	white panties
二千酱	2k-tan
艾丽丝·马格特罗伊德	alice margatroid
阿贝娜娜	abe nana
海军上将格拉夫·施佩（碧蓝航线）	admiral graf spee (azur lane)
女神异闻录的埃癸斯	aegis (persona)
艾瑞斯·甘斯布罗	aerith gainsborough
阿弗鲁·特鲁米	afuro terumi
阿格里亚斯·橡树	agrias oaks
啊希莉	ahri
爱黛拉·曼娜	aida mana
艾诺·美纪	aino megumi
艾诺·真子	aino minako
航母鬼姬	aircraft carrier oni
安岛春菜	aisaka taiga
阿希莎·兰达尔	aisha landar
赤城（碧蓝航线）	akagi (azur lane)
赤城·弥里亚	akagi miria
阿卡莉	akali
赤霜（碧蓝航线）	akashi (azur lane)
晓·基莉卡	akatsuki kirika
阿喀扎·阿卡丽	akaza akari
秋月绘美	akemi homura
秋千	aki (girls und panzer)
秋名理子	aki minoriko
秋岛静花	aki shizuha
秋田奈露	akita neru
秋山美由纪	akiyama mio
秋山雪莉	akiyama yukari
秋月丽子	akizuki ritsuko
秋月良	akizuki ryo
阿库玛·辉夜	akuma homura
阿尔斯特（灼眼的夏娜）	alastor (shakugan no shana)
勇者斗恶龙4的阿莉娜	alena (dq4)
爱丽丝·卡特雷特	alice cartelet
PC-98版爱丽丝·玛格特洛依德	alice margatroid (pc-98)
艾莉莎	alisa (girls und panzer)
艾莉莎·伊林尼奇娜·阿米埃拉	alisa ilinichina amiella
羊驼苏里（动物朋友）	alpaca suri (kemono friends)
阿尔冯斯·艾尔利克	alphonse elric
阿尔特拉（命运）	altera (fate)
邪神斯莱恩的女性化身	female embodiment of Slaanesh
创可贴	bandaid
纽扣	buttons
手杖	cane
链子	chains
袖口	cuffs
手铐	handcuffs
沙朗格	sarong
镣铐	shackles
纹身	tattoo
替换腿部装备	alternate legwear
美国国旗图案腿部装备	american flag legwear
脚踝袜	ankle socks
方格图案腿部装备	argyle legwear
不对称腿部装备	asymmetrical legwear
后缝线腿部装备	back-seamed legwear
芭蕾舞鞋	ballet slippers
赤脚凉鞋	barefoot sandals
黑色腿部装备	black legwear
黑色长筒袜	black thighhighs
蓝色腿部装备	blue legwear
小黑袜	bobby socks
紧身衣裤	bodystocking
靴子已脱下	boots removed
靴子	boots
蝴蝶结腿部配件	bow legwear
棕色腿部配件	brown legwear
交叉绑带鞋	cross-laced footwear
精细织物强调	fine fabric emphasis
渔网腿部配件	fishnet legwear
渔网	fishnets
褶边腿部配件	frilled legwear
毛皮装饰腿部配件	fur-trimmed legwear
丁字裤腰带	garter belt
绑腿带	garter straps
绑腿	garters
绿色腿部配件	green legwear
灰色腿部配件	grey legwear
高跟靴	high heel boots
高跟鞋	high heels
膝靴	knee boots
长筒袜	kneehighs
蕾丝装饰腿部配件	lace-trimmed legwear
乳胶腿部配件	latex legwear
腿部镂空	leg cutout
护腿套	leg warmers
紧身裤	leggings
腿部绑带	legwear garter
内短裤	legwear under shorts
便鞋	loafers
宽松袜子	loose socks
玛丽珍妮鞋	mary janes
混搭腿部配件	mismatched legwear
多色腿部配件	multicolored legwear
连裤袜	pantyhose
塑身裤	pantylines
粉色腿部配件	pink legwear
粉色长筒袜	pink thighhighs
印花腿部配件	print legwear
紫色腿部配件	purple legwear
红色腿部配件	red legwear
起绒腿部配件	ribbed legwear
丝带装饰腿部配件	ribbon-trimmed legwear
舵形鞋	rudder footwear
缝合腿部配件	seamed legwear
透视腿部配件	see-through legwear
拖鞋	slippers
袜子	socks
细高跟鞋	stiletto heels
马镫腿套	stirrup legwear
带状高跟鞋	strappy heels
条纹腿部配件	striped legwear
条纹袜子	striped socks
条纹长筒袜	striped thighhighs
塔巴伊鞋	tabi
大腿靴	thigh boots
长筒袜	thighhighs
无趾靴	toeless boots
无趾腿部配件	toeless legwear
破洞腿部配件	torn legwear
破洞长筒袜	torn thighhighs
双色腿部配件	two-tone legwear
不对称腿部配件	uneven legwear
乌瓦巴基鞋	uwabaki
竖条纹腿部配件	vertical-striped legwear
白色长筒袜	white legwear
白色连裤袜	white thighhighs
黄色长筒袜	yellow legwear
箭	arrow
背包	backpack
相机	camera
椅子	chair
筷子	chopsticks
香烟	cigarette
褶皱	crease
匕首	dagger
御守	gohei
吉他	guitar
枪	gun
手枪	handgun
灯笼/灯	lantern/lamp
麦克风	microphone
御札	ofuda
钢琴	piano
马鞭	riding crop
镰刀	scythe
剑	sword
茶杯	teacup
雨伞	umbrella
魔杖	wand
武器	weapons
鞭子	whip
阴阳	yin yang
美丽细致的天空	beautiful detailed sky
蓝月亮	blue moon
云	cloud
多云	cloudy
白天	day
黄昏	dusk
满月	full moon
秋天	in autumn
春天	in spring
夏天	in summer
下雨天	in the rain
冬天	in winter
月亮	moon
月光	moonlight
夜空	night sky
夜晚	night
雨	rain
雨天	rainy days
流星	shooting star
天空	sky
地平线	skyline
星空	starry sky
星星	stars
太阳	sun
太阳背景	sunburst background
日落	sunset
兵器库	armory
浴室	bathroom
浴缸	bathtub
卧室	bedroom
食堂	cafeteria
教室	classroom
衣橱	closet
俱乐部室	clubroom
温室	conservatory
法庭	courtroom
隔间	cubicle
餐厅	dining room
更衣室	dressing room
地牢	dungeon
试衣间	fitting room
健身房储物室	gym storeroom
健身房	gym
酒店房间	hotel room
医务室	infirmary
厨房	kitchen
实验室	laboratory
图书馆	library
客厅	living room
杂乱的房间	messy room
办公室	office
宅男房	otaku room
牢房	prison cell
淋浴间	shower
员工室	staff room
舞台	stage
储物间	storage room
小便池	toilet stall
车间	workshop
机场	airfield
小巷	alley
游乐园	amusement park
aqueduct	aqueduct
竹林	bamboo forest
海滩	beach
桥梁	bridge
运河	canal
峡谷	canyon
旋转木马	carousel
洞穴	cave
城市	city
悬崖	cliff
人行横道	crosswalk
大坝	dam
沙漠	desert
土路	dirt road
码头	dock
干船坞	drydock
摩天轮	ferris wheel
田野	field
浮动城市	floating city
漂浮岛屿	floating island
花田	flower field
森林	forest
花园	garden
间歇泉	geyser
冰川	glacier
墓地	graveyard
港口	harbor
高速公路	highway
小山	hill
岛屿	island
码头	jetty
丛林	jungle
湖泊	lake
市场摊位	market stall
市场	market
草地	meadow
山脉	mountain
自然	nature
绿洲	oasis
海底	ocean bottom
海洋	ocean
纸质灯笼	paper lantern
公园	park
停车场	parking lot
小径	path
电话亭	phone booth
平原	plain
游乐场	playground
池塘	pond
泳池边	poolside
铁路道口	railroad crossing
铁轨	railroad tracks
稻田	rice paddy
河流	river
道路	road
过山车	roller coaster
绳索桥	rope bridge
跑道	running track
跑道	runway
乡村	rural
草原	savannah
船坞	shipyard
海岸	shore
人行道	sidewalk
足球场	soccer field
石板路	stone walkway
溪流	stream
街道	street
城镇	town
战壕	trench
隧道	tunnel
村庄	village
火山	volcano
荒地	wasteland
水域	water
瀑布	waterfall
水上乐园	waterpark
井	well
湿地	wetland
麦田	wheat field
木桥	wooden bridge
动物园	zoo
机场	airport
露天剧场	amphitheater
公寓	apartment
水族馆	aquarium
游艺机厅	arcade
竞技场	arena
美术馆	art gallery
面包房	bakery
酒吧	bar
谷仓	barn
钟楼	bell tower
书店	bookstore
保龄球道	bowling alley
建筑	building
掩体	bunker
公交站	bus stop
咖啡馆	cafe
赌场	casino
城堡	castle
教堂	church
城市景观	cityscape
施工现场	construction site
控制塔	control tower
便利店	convenience store
会议	convention
冷却塔	cooling tower
工厂	factory
篱笆	fences
水上城堡	floating castle
花店	flower shop
车库	garage
加油站	gas station
凉亭	gazebo
温室	greenhouse
瞭望塔	guard tower
机库	hangar
医院	hospital
酒店	hotel
房子	house
工业	industrial
居酒屋	izakaya
灯塔	lighthouse
商场	mall
巨型建筑	megastructure
军事基地	military base
宣礼塔	minaret
清真寺	mosque
电影院	movie theater
博物馆	museum
霓虹灯	neon lights
夜总会	nightclub
核电站	nuclear powerplant
天文台	observatory
温泉	onsen
宝塔	pagoda
药店	pharmacy
天文馆	planetarium
游泳池	pool
发电厂	powerplant
监狱	prison
炼油厂	refinery
餐馆	restaurant
屋顶	rooftop
废墟	ruins
沙龙	salon
学校	school
小屋	shack
商店	shop
神社	shrine
溜冰场	skating rink
摩天大楼	skyscrapers
太空电梯	space elevator
体育场	stadium
高脚屋	stilt house
超市	supermarket
酒馆	tavern
寺庙	temple
剧院	theater
塔楼	tower
火车站	train station
树屋	treehouse
仓库	warehouse
武器店	weapon shop
风车	windmill
飞燕草	alstroemeria (flower)
大红花	amaryllis (flower)
风信子	anemone
夜来香	angel's trumpet
安祖花	anthurium
杜鹃花	azalea
尤加利叶	baby's-breath
舞女花	begonia
铃兰	bellflower
鸟巢花	bird of paradise flower
黑莲花	black lotus
黑玫瑰	black rose
黑眼睛金盏花	black-eyed susan
流血心	bleeding heart
蓝玫瑰	blue rose
蓝莓花	blueberry blossoms
紫荆	bougainvillea
花束	bouquet
棕玫瑰	brown rose
金盏花	buttercup
水仙	calla lily
山茶花	camellia
康乃馨	carnation
洋甘菊	chamomile
樱花	cherry blossoms
中国钟花	chinese bellflower
灯笼花	chinese lantern (plant)
菊花	chrysanthemum
铁线莲	clematis
姬竹	clivia
三叶草	clover
鸡冠花	cockscomb (flower)
郁金香	columbine
蓝蓟	cornflower
波斯菊	cosmos
咳嗽花	coughing flowers
番红花	crocus
文心兰	cymbidium
水仙花	daffodil
大丽花	dahlia
雏菊	daisy
蒲公英	dandelion
石竹	dianthus
双子花	dimorphotheca
牡荆科	dipsacaceae
尘尾草	dusty miller
雪绒花	edelweiss
仙人掌月季	epiphyllum
恋恋花	eustoma
